机构名称,床位占用比例,从业人员比例,护理床位比例,空置床位总数,分数,排行,经度,纬度
海阳市夕阳红老年公寓,0.64,0.24,0.62,29,0.239187731,115,121.15238004212362,36.77097417342341
烟台市牟平区人民政府大窑街道敬老院,0.43,0.23,0.19,51,0.237935886,116,121.56717773169736,37.37334957815932
莱州市朱桥镇敬老院,0.64,0.16,0.41,62,0.237916914,117,120.08935269993378,37.31641319487129
龙口市海岱老年公寓,0.53,0.23,0.55,31,0.236901194,118,120.3396702014778,37.61237370940247
烟台市芝罘区进德老年公寓,0.35,0.22,0.37,42,0.236095752,119,121.41621991617043,37.537615734828975
莱州市虎头崖镇敬老院,0.58,0.18,0.38,54,0.233365615,120,119.93759000266992,37.19988696271701
沙河镇养老服务中心,0.43,0.27,0.17,34,0.231096935,121,119.7933933733944,37.11460742647144
海阳市行村镇敬老院,0.38,0.13,0.75,62,0.230371926,122,120.92417891206584,36.68763574068185
烟台市芝罘区福盛老年公寓,0.81,0.23,1.0,27,0.229903127,123,121.40157582957734,37.53052446489388
莱州市文峰路街道敬老院,0.52,0.21,0.33,44,0.229238009,124,119.94493212309465,37.13356508463054
招远市蚕庄镇敬老院,0.58,0.2,1.0,36,0.227767845,125,120.23274848984715,37.40486245414874
烟台市牟平区人民政府武宁街道敬老院,0.44,0.26,0.0,45,0.225872479,126,121.56717773169736,37.37334957815932
莱州市程郭镇敬老院,0.58,0.15,0.33,63,0.22571925,127,120.01173048013878,37.22897148797467
招远市夏甸镇敬老院,0.49,0.13,0.06,85,0.222627356,128,120.31679278556352,37.21252027771195
烟台市牟平区福满老年公寓,0.4,0.21,0.29,42,0.22208093,129,121.57904291019535,37.388944757018685
龙口市康乐福老年公寓,0.63,0.23,0.43,26,0.221405367,130,120.5295018286268,37.63422896421482
招远市滨海老年公寓,0.63,0.18,0.29,52,0.220798915,131,120.23960552529648,37.506238316463374
海阳市聚福德老年公寓,0.63,0.25,0.58,14,0.220472318,132,120.99824303356634,36.786315256959206
龙口市龙港街道敬老院,0.76,0.22,0.6,24,0.219359407,133,120.3349176263467,37.6385965085596
莱州市土山镇敬老院,0.65,0.19,0.52,34,0.218652345,134,119.69742020931938,37.061185691155416
莱州市平里店镇敬老院,0.6,0.19,0.48,35,0.218319183,135,119.96154331909348,37.33609317317259
莱州市夏邱镇敬老院,0.62,0.17,0.4,47,0.218193983,136,119.86046400683864,37.01707240728237
栖霞市福寿康养老中心,0.97,0.28,1.0,2,0.217528153,137,120.8510904401797,37.311787318058016
招远金汇老年公寓,0.78,0.31,0.16,11,0.214903683,138,120.40116846618253,37.371188578221215
龙口市东莱街道敬老院,0.74,0.19,0.58,31,0.213606719,139,120.47120530442072,37.61769874972226
招远市禄良养老服务有限公司,0.31,0.16,0.05,69,0.213013526,140,120.4279756992113,37.38900331978504
东江街道敬老院,0.59,0.15,0.42,49,0.212086181,141,120.47120530442072,37.61769874972226
栖霞市夕阳红老年公寓,0.72,0.12,0.19,74,0.211878568,142,120.8379832644836,37.306093299730655
龙口市下丁家田原山庄老年公寓,0.61,0.16,0.78,40,0.211302333,143,120.53049598333467,37.53696295978082
海阳市大成老年公寓,0.72,0.18,0.57,33,0.211167989,144,121.1431573191138,36.87002543198878
烟台市蓬莱区紫荆山街道敬老院,0.75,0.28,0.06,25,0.210341626,145,120.78173119378768,37.76763493414717
海阳市里店镇敬老院,0.58,0.2,0.5,25,0.209825259,146,120.96449513284529,36.88236061583608
烟台市芝罘区金色家园老年公寓,0.76,0.19,0.72,28,0.208679465,147,121.3749185237382,37.47317162144954
烟台市牟平区水道镇敬老院,0.4,0.12,0.17,72,0.207108554,148,121.59041617659608,37.17758738693984
烟台为民养老服务有限公司,0.88,0.25,1.0,6,0.207000405,149,121.47947391899444,37.44725226851327
莱阳市安泰老年公寓,0.42,0.21,0.06,46,0.205009821,150,120.718414309578,36.9846355683041
龙口市七甲镇敬老院,0.55,0.16,0.06,63,0.20384524,151,120.60389131638304,37.54276812743538
莱阳市天福老年公寓,0.52,0.27,0.06,24,0.203364581,152,120.72888064673585,37.00003731542908
烟台市牟平区莒格庄镇敬老院,0.55,0.21,0.39,23,0.201079823,153,121.69727716277424,37.17432149954847
海阳市发城镇敬老院,0.59,0.15,0.5,37,0.200707882,154,120.96449513284529,36.88236061583608
龙口市芦头镇敬老院,0.44,0.23,0.01,39,0.199905525,155,120.47120530442072,37.61769874972226
蓬莱顺康养老服务有限公司,0.8,0.2,1.0,19,0.199666366,156,120.81825117548198,37.78741942164776
莱阳市爱心老年公寓,0.54,0.19,0.12,46,0.199483791,157,120.71043214647744,36.98495771329721
招远市玲珑镇敬老院,0.5,0.23,0.07,35,0.199426059,158,120.48488910242364,37.41497440389689
烟台市芝罘区奇山康宁老年公寓,0.62,0.19,0.45,23,0.195638345,159,121.41126396467187,37.52237399080831
莱州市三山岛街道过西敬老院,0.51,0.15,0.33,44,0.194845883,160,119.96154331909348,37.33609317317259
烟台国康养老服务有限公司,0.52,0.16,1.0,29,0.193511941,161,121.47947391899444,37.44725226851327
海阳市辛安镇敬老院,0.39,0.1,0.94,49,0.191945623,162,120.99916658146115,36.66465005987415
烟台市牟平区福康老年看护服务中心,0.36,0.11,0.2,64,0.191465489,163,121.581968960733,37.39798882457715
烟台市牟平区观水镇敬老院,0.56,0.18,0.25,35,0.18909012,164,121.27447619992049,37.22138087848757
海阳市以马内利老年公寓,0.46,0.17,0.54,21,0.186299089,165,121.23753940446954,36.725812420923255
烟台市牟平区高陵镇下雨村敬老院,0.56,0.17,0.16,42,0.18555343,166,121.47665997698444,37.26716699552247
招远市张星镇敬老院,0.59,0.14,0.08,57,0.184569912,167,120.3098936195858,37.41068915762916
招远市毕郭镇敬老院,0.62,0.14,1.0,30,0.183504302,168,120.56657399871808,37.229344737896376
莱州市夏邱镇老年服务中心,0.57,0.12,0.4,43,0.183079761,169,119.9396226883779,37.01153973338456
招远市齐山镇敬老院,0.44,0.14,0.03,56,0.17807028,170,120.37585367792803,37.24836882040259
莱阳市金安达老年服务中心,0.73,0.09,0.08,70,0.176863844,171,120.76566976076094,36.9762156372381
龙口市兰高镇敬老院,0.49,0.17,0.07,42,0.176451943,172,120.6351020430217,37.60952401600373
龙口市诸由观镇敬老院,0.73,0.16,0.42,23,0.175174526,173,120.53717551361522,37.69909057899611
莱州市城港路街道敬老院,0.71,0.19,0.25,23,0.174997574,174,119.93759000266992,37.19988696271701
海阳市坤元养老院,0.52,0.12,0.54,31,0.173834872,175,121.1804581977879,36.693269738228416
烟台经济技术开发区金东颐养中心,0.98,0.2,1.0,3,0.173263672,176,121.29179642845835,37.56242828636011
莱阳市康达老年公寓,0.9,0.19,0.21,24,0.172209705,177,120.70753807561594,36.95226581310368
烟台市牟平区温馨老年公寓,0.5,0.17,0.2,30,0.170178878,178,121.59909075358374,37.40670601155742
莱阳市天乐老年公寓,0.51,0.16,0.13,37,0.168674135,179,120.72859264998937,36.99983556489481
龙口市徐福街道敬老院,0.57,0.17,0.12,34,0.168389651,180,120.51932178143495,37.63334299302918
烟台市牟平区幸福老年公寓,0.62,0.16,0.33,23,0.16614068,181,121.57674854809233,37.38287082364991
龙口市下丁家镇敬老院,0.6,0.21,0.15,16,0.164990969,182,120.51330879384284,37.55235561339104
烟台市牟平区儒家老年公寓,0.71,0.11,1.0,29,0.164516446,183,121.57904291019535,37.388944757018685
海阳市幸福老年公寓,0.5,0.12,0.56,25,0.164081827,184,121.02661448597964,37.10542522648334
烟台市夕阳红老年公寓,0.71,0.22,0.0,21,0.163329081,185,121.15238004212362,36.77097417342341
烟台市牟平区文化街道办事处敬老院,0.76,0.2,0.14,17,0.159592278,186,121.59983365224048,37.38768639903781
莱阳市怡康老年公寓,0.88,0.09,0.5,32,0.157652724,187,120.70700403299026,36.96029176937338
烟台市芝罘区君祥老年公寓,0.42,0.09,0.75,31,0.156799457,188,121.3694645516649,37.45763766848589
烟台市牟平区福元老年公寓,0.67,0.15,1.0,10,0.156531706,189,121.57904291019535,37.388944757018685
海阳市康馨老年公寓,1.01,0.19,0.45,-1,0.15583138,190,121.14414078398612,36.768206754228544
招远市金都老年福利中心,0.94,0.21,0.05,17,0.155802871,191,120.39308551320376,37.37120126865992
海阳市盘石店镇敬老院,0.63,0.1,0.56,23,0.149130025,192,121.29314792909813,36.8817113355833
烟台市芝罘区黄务老年公寓,0.91,0.12,0.97,16,0.148708204,193,121.35930678244974,37.50929237620029
烟台市牟平区龙泉镇敬老院,0.75,0.11,0.19,38,0.147371807,194,121.78425065309754,37.343279290041416
莱阳市金色晚年老年公寓,0.6,0.1,0.08,48,0.146933347,195,120.7041459841797,36.95535996341418
莱阳市颐养院老年公寓,0.79,0.15,0.21,22,0.146194073,196,120.7376234051117,36.98652236709177
烟台市牟平区王格庄镇敬老院,0.82,0.17,0.3,9,0.145628007,197,121.41399526257496,37.1756065359755
莱阳市康泰山庄老年公寓,0.54,0.11,0.02,45,0.141729643,198,120.72976098613564,37.00060805035542
烟台市牟平区桃源老年公寓,0.79,0.15,0.26,16,0.141529353,199,121.630044475016,37.36383636350735
海阳市阳光老年公寓,0.94,0.13,0.58,8,0.141343158,200,121.21113003095114,36.79853394890433
招远金街养老服务中心,0.98,0.15,1.0,1,0.141327186,201,120.40752999631252,37.389826419244095
栖霞平安老年公寓,0.59,0.15,0.12,23,0.138943565,202,120.82344445929628,37.28849715401035
烟台市莱山区弘翔老年公寓,0.77,0.19,0.0,16,0.13786738,203,121.41556873450624,37.42570427735081
海阳市留格庄镇敬老院,0.78,0.08,0.51,22,0.135775546,204,121.32209842924313,36.79051351578519
南长山敬老院,0.8,0.19,0.15,4,0.133609352,205,120.73758873051904,37.94152629258075
海阳市吉利老年公寓,1.01,0.14,0.5,-1,0.132279327,206,121.20277210665576,36.79705123325865
莱州市郭家店镇敬老院,0.92,0.12,0.45,9,0.13215114,207,120.12394949936176,37.05053980312656
烟台市牟平区姜格庄街道敬老院,0.74,0.12,0.24,21,0.13051625,208,121.82551234042629,37.42520233205566
招远市康璐老年公寓,0.52,0.15,0.0,24,0.128399935,209,120.33156595865842,37.415759955400816
海阳市招虎山老年公寓,1.16,0.14,0.64,-8,0.120607662,210,121.23119673875524,36.86682074411198
招远市轮胎西区老年公寓,1.19,0.23,0.02,-10,0.11973561,211,120.39524539897194,37.35741953915316
烟台市芝罘区宏盛养老院,1.49,0.17,0.88,-21,0.116049263,212,121.38371167705316,37.60596622917093
莱阳鸿杰龙旺庄养老公寓,0.76,0.16,0.0,12,0.114155195,213,120.718414309578,36.9846355683041
御华老年公寓,0.88,0.17,0.03,5,0.111342387,214,120.42969514578796,37.37736039281108
烟台市牟平区福荣老年公寓,0.79,0.12,0.19,11,0.108998111,215,121.6075328491054,37.39041268299511
莱阳鸿杰沐浴店养老公寓,0.67,0.09,0.0,33,0.108417541,216,120.76739531581504,37.04239058673246
莱阳鸿杰柏林庄养老公寓,0.78,0.15,0.0,11,0.106755391,217,120.6808193256799,37.00275909351602
益寿康老年公寓,0.78,0.14,0.0,14,0.105913984,218,120.69943275482996,37.00068017549432
万第老来乐老年公寓,0.89,0.15,0.0,9,0.103307088,219,120.87002016269982,36.88576533097254
烟台市牟平区玉林店镇敬老院,0.94,0.12,0.21,4,0.099375304,220,121.63279930852345,37.28581910479417
烟台市牟平区紫宸老年公寓,1.0,0.15,0.1,0,0.098685065,221,121.57904291019535,37.388944757018685
蓬莱市夕阳红养老服务有限公司,0.94,0.13,0.0,1,0.078703704,222,120.33986145072085,37.657560513549946
海阳市鹤童村老年护理中心,1.02,0.05,0.67,-3,0.077386574,223,121.2055172384637,36.8113265238839
烟台只楚老年公寓有限公司,2.06,0.13,0.85,-35,0.069309995,224,121.3309595842852,37.523184520856056
莱阳鸿杰敬老公寓,0.98,0.07,0.06,3,0.053635888,225,120.7087665982314,36.9886778477599
烟台市芝罘区金东养老服务中心,2.43,0.16,0.92,-76,0.019011917,226,121.35839284642388,37.4515159237148
栖霞市凯晨老年公寓,1.24,0.11,1.0,-63,0.013554931,227,120.8266776404878,37.312297778678186
海阳市康安老年公寓,1.91,0.11,1.0,-64,0.010790791,228,121.1933848140765,36.79928508508392
栖霞市温心老年公寓,1.29,0.07,0.27,-44,-0.002039104,229,120.81898823515291,37.2832035534888
