机构名称,经度,纬度,县市区,地址,建筑面积
莒格庄老年食堂,121.69727716277424,37.17432149954847,牟平区,莒格庄镇蒿口村,
姜格庄老年食堂,121.82551234042629,37.42520233205566,牟平区,姜格庄街道驻地,
新城街社区006号市民社区食堂,121.45190653984312,37.50685235898148,牟平区,牟平区新区大街639号,412.42
文兴路社区005号市民社区食堂,121.60722149641563,37.39198716427327,牟平区,牟平区文兴路506号,769.57
通海路社区011号市民社区食堂,121.60506358691958,37.40605322905605,牟平区,宁海街道通海路社区,310.0
社会福利综合服务中心老年食堂,121.60252497554838,37.358561953071735,牟平区,牟平区正阳路999号,
社会福利中心老年食堂,121.4029854505836,37.44915443477309,牟平区,牟平区宁海大街539号,
新城花苑综合养老服务中心老年食堂,121.5951224889934,37.41145504835654,牟平区,宁海街道新城花苑社区新城大街669号,100.0
为民日间照料老年食堂,121.37474056941666,37.58359014166243,牟平区,牟平区永安路408号内20号楼,1500.0
兴华老年食堂,121.37474056941666,37.58359014166243,牟平区,牟平区工商大街721号,
福荣老年食堂,121.37474056941666,37.58359014166243,牟平区,牟平区文兴路532-1号,
馨慧老年食堂,121.37474056941666,37.58359014166243,牟平区,牟平区东关路701-15号,
儒家老年食堂,121.37474056941666,37.58359014166243,牟平区,牟平区南关大街818号,
紫宸老年食堂,121.37474056941666,37.58359014166243,牟平区,牟平区大窑街道曲格庄村,
温馨老年食堂,121.37474056941666,37.58359014166243,牟平区,牟平区新区大街689号,
福康老年食堂,121.37474056941666,37.58359014166243,牟平区,牟平区北关大街811号,
浩岭湖老年食堂,121.37474056941666,37.58359014166243,牟平区,牟平区西郊路789号,
幸福老年食堂,121.37474056941666,37.58359014166243,牟平区,牟平区西郊路829—10号,
城北村日间照料老年食堂,121.60416815598722,37.40754611391426,牟平区,牟平区通海路339号,760.0
迟家市民社区食堂,121.44383059364732,37.5154693858869,莱山区,黄海路街道迟家社区,350.0
鹿鸣北区市民社区食堂,120.43880028060651,37.3646114132633,莱山区,黄海路街道鹿鸣小区,240.0
鹿鸣南区市民社区食堂,120.43880028060651,37.3646114132633,莱山区,黄海路街道鹿鸣小区,1000.0
杰瑞祥和苑市民社区食堂,121.4025229130765,37.4466655938681,莱山区,莱山经济开发区山海路4599号,380.0
河东新城市民社区食堂,121.43914467278508,37.46381390287361,莱山区,初家街道河东新城小区,300.48
鑫龙旺源社区食堂,120.39942036366013,37.389996084262734,莱山区,莱山经济开发区鑫龙旺源小区,220.0
万泰麓溪公馆市民社区食堂,121.44383059364732,37.5154693858869,莱山区,黄海路街道万泰麓溪公馆小区,600.0
圣莱恩综合养老服务中心,121.18781558940628,36.78067853290703,莱山区,黄海路街道,260.0
黄海明珠山庄社区社区老年助餐点,121.44591933361912,37.51907847364826,莱山区,黄海路街道,30.0
祥隆社区社区老年助餐点,121.44569287080006,37.46589451638336,莱山区,黄海路街道,70.0
华润社区社区老年助餐点,120.71019274805904,37.7830982175816,莱山区,黄海路街道,54.0
