时间,地区,出生人数,出生率,死亡人数,死亡率,增长人数,增长率,年平均人口
2014,福山区,4389,16.37,1947,7.26,2442,9.11,268125
2014,牟平区,4498,9.85,2865,6.28,1633,3.58,456422
2014,莱山区,3362,16.8,1250,6.25,2112,10.55,200098
2014,开发区,3100,16.43,892,4.73,2208,11.71,188637
2014,高新区,614,24.09,171,6.71,443,17.38,25490
2014,龙口市,6878,10.81,5133,8.07,1745,2.74,636158
2014,莱阳市,11840,13.63,6966,8.02,4874,5.61,868603
2014,莱州市,7846,9.19,7973,9.34,-127,-0.15,853855
2014,蓬莱市,4664,10.39,3685,8.21,979,2.18,449010
2014,招远市,6705,11.82,5411,9.53,1294,2.28,567499
2014,栖霞市,5827,9.41,6925,11.18,-1098,-1.77,619270
2014,海阳市,6230,9.45,6410,9.72,-180,-0.27,659134
2014,长岛县,366,8.59,366,8.59,0,0,42609
2013,全市,52117,8.01,47708,7.33,4409,0.68,6507298
2013,市区,17290,9.56,10919,6.03,6371,3.52,1809432
2013,芝罘区,6443,9.42,3605,5.27,2838,4.15,683911
2013,福山区,2929,11.07,1652,6.24,1277,4.83,264623
2013,牟平区,3089,6.78,3341,7.33,-252,-0.55,455709
2013,莱山区,2181,11.16,1257,6.43,924,4.73,195445
2013,开发区,2261,12.22,892,4.82,1369,7.4,185090
2013,高新区,387,15.7,172,6.98,215,8.72,24655
2013,龙口市,4561,7.18,5006,7.88,-445,-0.7,635340
2013,莱阳市,7797,8.99,6824,7.86,973,1.12,867663
2013,莱州市,5835,6.82,7618,8.91,-1783,-2.09,854988
2013,蓬莱市,2957,6.59,3810,8.49,-853,-1.9,448976
2013,招远市,4499,7.93,5094,8.98,-595,-1.05,567209
2013,栖霞市,4230,6.81,3415,5.5,815,1.31,621199
2013,海阳市,4719,7.15,4769,7.23,-50,-0.08,659780
2013,长岛县,229,5.36,253,5.92,-24,-0.56,42712
2012,全市,53201,8.17,64358,9.89,-11157,-1.71,6510269
2012,市区,18954,10.53,14455,8.03,4499,2.5,1799511
2012,芝罘区,7162,10.49,3809,5.58,3353,4.91,682655
2012,福山区,3439,13.12,3123,11.92,316,1.21,262087
2012,牟平区,3178,6.98,4753,10.43,-1575,-3.46,455619
2012,莱山区,2361,12.28,1291,6.71,1070,5.56,192308
2012,开发区,2488,13.62,1302,7.13,1186,6.49,182719
2012,高新区,326,13.51,177,7.34,149,6.18,24125
2012,龙口市,5105,8.04,4926,7.76,179,0.28,635171
2012,莱阳市,7209,8.28,9787,11.24,-2578,-2.96,870851
2012,莱州市,5809,6.78,8183,9.55,-2374,-2.77,856921
2012,蓬莱市,3489,7.76,4424,9.84,-935,-2.08,449717
2012,招远市,3629,6.38,5377,9.45,-1748,-3.07,568924
2012,栖霞市,4460,7.15,7798,12.5,-3338,-5.35,623821
2012,海阳市,4321,6.52,8996,13.58,-4675,-7.06,662454
2012,长岛县,225,5.24,412,9.6,-187,-4.36,42901
2011,全市,44414,6.82,45407,6.97,-993,-0.15,6514484
2011,市区,14664,8.18,8940,4.99,5724,3.19,1792685
2011,芝罘区,6022,8.82,3334,4.88,2688,3.94,682592
2011,福山区,2351,9.07,1386,5.35,965,3.72,259285
2011,牟平区,2322,5.1,1960,4.31,362,0.8,454997
2011,莱山区,1854,9.67,1230,6.41,624,3.25,191795
2011,开发区,1848,10.25,861,4.78,987,5.47,180302
2011,高新区,267,11.26,169,7.13,98,4.13,23715
2011,龙口市,4349,6.85,4789,7.55,-440,-0.69,634612
2011,莱阳市,6550,7.5,7060,8.08,-510,-0.58,873911
