年份,能源类别,产业类别,value
2017,煤炭消费量(万吨),第二产业,0.9999999996595365
2017,煤炭消费量(万吨),第三产业,1.0000000114687286
2017,焦炭消费量(万吨),第二产业,1.0000000253486423
2017,焦炭消费量(万吨),第三产业,0.9999998150524936
2017,原油消费量(万吨),第二产业,1.0000000102787436
2017,原油消费量(万吨),第三产业,0.9999999684885048
2017,汽油消费量(万吨),第二产业,1.0000000770227273
2017,汽油消费量(万吨),第三产业,1.0000010110072717
2017,煤油消费量(万吨),第二产业,0.9999993207260679
2017,煤油消费量(万吨),第三产业,1.0000024198068465
2017,柴油消费量(万吨),第二产业,0.9999999491293806
2017,柴油消费量(万吨),第三产业,0.999999698793428
2017,燃料油消费量(万吨),第二产业,1.000000013302059
2017,燃料油消费量(万吨),第三产业,0.9999998866937507
2017,天然气消费量(亿立方米),第二产业,0.9999995100862341
2017,天然气消费量(亿立方米),第三产业,0.9999940348367818
2018,煤炭消费量(万吨),第二产业,0.9999999989458986
2018,煤炭消费量(万吨),第三产业,0.9999999876510203
2018,焦炭消费量(万吨),第二产业,1.0000000030616265
2018,焦炭消费量(万吨),第三产业,1.0000001491935147
2018,原油消费量(万吨),第二产业,0.999999996476784
2018,原油消费量(万吨),第三产业,1.000000020005874
2018,汽油消费量(万吨),第二产业,0.9999999711466726
2018,汽油消费量(万吨),第三产业,0.9999990253363036
2018,煤油消费量(万吨),第二产业,1.000000262071761
2018,煤油消费量(万吨),第三产业,1.0000013070989584
2018,柴油消费量(万吨),第二产业,1.0000000115084204
2018,柴油消费量(万吨),第三产业,1.0000001441848128
2018,燃料油消费量(万吨),第二产业,0.99999994886264
2018,燃料油消费量(万吨),第三产业,1.00000018133193
2018,天然气消费量(亿立方米),第二产业,0.9999994953092768
2018,天然气消费量(亿立方米),第三产业,0.9999955737234901
2019,煤炭消费量(万吨),第二产业,0.9999999974588034
2019,煤炭消费量(万吨),第三产业,1.0000000177007826
2019,焦炭消费量(万吨),第二产业,1.000000033141644
2019,焦炭消费量(万吨),第三产业,0.999999871090999
2019,原油消费量(万吨),第二产业,1.0000000085640164
2019,原油消费量(万吨),第三产业,1.0000000259147825
2019,汽油消费量(万吨),第二产业,1.000000152409621
2019,汽油消费量(万吨),第三产业,1.0000002405278388
2019,煤油消费量(万吨),第二产业,0.999999347864691
2019,煤油消费量(万吨),第三产业,1.0000026161820972
2019,柴油消费量(万吨),第二产业,1.000000030869675
2019,柴油消费量(万吨),第三产业,1.000000421024667
2019,燃料油消费量(万吨),第二产业,1.000000060354633
2019,燃料油消费量(万吨),第三产业,1.0000003433138818
2019,天然气消费量(亿立方米),第二产业,1.0000008287577495
2019,天然气消费量(亿立方米),第三产业,0.9999968725801222
