lng,lat,value
121.4848682,31.24077607,9425.882352941177
121.1305531,31.15545432,10000.0
121.5325199,31.26552414,10000.0
121.4433964,31.19455677,8294.117647058823
121.5504546,31.22734829,6180.0
121.4304544,31.22684797,6573.076923076923
121.4915856,31.23724715,7641.666666666667
121.4035693,31.25497337,9793.333333333334
121.3886119,31.11884258,6122.222222222223
121.2344796,31.03713518,8000.0
121.5115865,31.2697467,5000.0
121.2725951,31.38015534,43214.28571428572
121.4534318,31.23384493,15394.736842105263
