lng,lat,value
121.4848682,31.24077607,7115.789473684211
121.1305531,31.15545432,6571.428571428572
121.5325199,31.26552414,6380.0
121.4433964,31.19455677,5822.222222222223
121.5504546,31.22734829,5973.509933774834
121.4304544,31.22684797,6000.0
121.4915856,31.23724715,6228.571428571428
121.4035693,31.25497337,6266.666666666667
121.3886119,31.11884258,6300.653594771242
121.2344796,31.03713518,5969.69696969697
121.5115865,31.2697467,5782.608695652174
121.496563,31.41027947,5980.392156862745
121.2725951,31.38015534,6164.179104477612
121.4534318,31.23384493,5666.666666666667
121.4035569,31.62856998,4500.0
121.34848,30.74785238,6000.0
121.4805037,30.92372011,6333.333333333333
