lng,lat,value
121.4848682,31.24077607,7322.565320665083
121.1305531,31.15545432,7857.142857142857
121.5325199,31.26552414,6948.275862068966
121.4433964,31.19455677,6921.428571428572
121.5504546,31.22734829,7478.16091954023
121.4304544,31.22684797,7145.238095238095
121.4915856,31.23724715,6857.142857142857
121.4035693,31.25497337,6928.301886792453
121.3886119,31.11884258,6717.9775280898875
121.2344796,31.03713518,6054.166666666667
121.5115865,31.2697467,6037.5
121.496563,31.41027947,6714.285714285715
121.2725951,31.38015534,6482.758620689655
121.4534318,31.23384493,7445.901639344263
121.4035569,31.62856998,4000.0
121.34848,30.74785238,4000.0
121.4805037,30.92372011,8000.0
