lng,lat,value
121.4848682,31.24077607,13368.57142857143
121.1305531,31.15545432,12000.0
121.5325199,31.26552414,7600.0
121.4433964,31.19455677,11725.806451612903
121.5504546,31.22734829,13237.5
121.4304544,31.22684797,12880.0
121.4915856,31.23724715,16258.064516129032
121.4035693,31.25497337,13375.0
121.3886119,31.11884258,14921.052631578947
121.2344796,31.03713518,19250.0
121.5115865,31.2697467,16850.0
121.496563,31.41027947,8742.857142857143
121.2725951,31.38015534,8214.285714285714
121.4534318,31.23384493,19622.222222222223
121.34848,30.74785238,10000.0
121.4805037,30.92372011,15050.0
