lng,lat,value
121.4848682,31.24077607,7902.492211838006
121.1305531,31.15545432,6105.555555555556
121.5325199,31.26552414,7300.0
121.4433964,31.19455677,7453.846153846154
121.5504546,31.22734829,7703.105590062112
121.4304544,31.22684797,8265.217391304348
121.4915856,31.23724715,6489.74358974359
121.4035693,31.25497337,5632.35294117647
121.3886119,31.11884258,7327.927927927928
121.2344796,31.03713518,8725.490196078432
121.5115865,31.2697467,6486.95652173913
121.496563,31.41027947,9428.57142857143
121.2725951,31.38015534,8642.857142857143
121.4534318,31.23384493,7453.7037037037035
121.34848,30.74785238,5250.0
121.4805037,30.92372011,8600.0
