lng,lat,value
121.4848682,31.24077607,6808.870967741936
121.1305531,31.15545432,7944.444444444444
121.5325199,31.26552414,6304.166666666667
121.4433964,31.19455677,6545.1612903225805
121.5504546,31.22734829,6321.538461538462
121.4304544,31.22684797,7021.0526315789475
121.4915856,31.23724715,7375.675675675676
121.4035693,31.25497337,7032.4324324324325
121.3886119,31.11884258,7307.142857142857
121.2344796,31.03713518,7800.0
121.5115865,31.2697467,6275.0
121.496563,31.41027947,6476.923076923077
121.2725951,31.38015534,6560.0
121.4534318,31.23384493,6044.444444444444
121.34848,30.74785238,5500.0
121.4805037,30.92372011,5885.714285714285
