lng,lat,value
121.4848682,31.24077607,6180.232558139535
121.1305531,31.15545432,5869.565217391304
121.5325199,31.26552414,5940.0
121.4433964,31.19455677,7352.216748768473
121.5504546,31.22734829,6267.664670658683
121.4304544,31.22684797,5714.285714285715
121.4915856,31.23724715,7920.0
121.4035693,31.25497337,5905.263157894737
121.3886119,31.11884258,6009.259259259259
121.2344796,31.03713518,5666.666666666667
121.5115865,31.2697467,5882.35294117647
121.496563,31.41027947,6074.074074074074
121.2725951,31.38015534,5634.615384615385
121.4534318,31.23384493,6313.953488372093
121.4035569,31.62856998,4050.0
121.34848,30.74785238,5666.666666666667
121.4805037,30.92372011,6454.545454545455
