lng,lat,value
121.4848682,31.24077607,7026.7441860465115
121.1305531,31.15545432,6360.0
121.5325199,31.26552414,7510.526315789473
121.4433964,31.19455677,6573.75
121.5504546,31.22734829,6691.836734693878
121.4304544,31.22684797,6756.338028169014
121.4915856,31.23724715,7118.518518518518
121.4035693,31.25497337,6380.701754385965
121.3886119,31.11884258,6874.789915966387
121.2344796,31.03713518,6522.727272727273
121.5115865,31.2697467,6373.076923076923
121.496563,31.41027947,8915.555555555555
121.2725951,31.38015534,6802.083333333333
121.4534318,31.23384493,6924.175824175824
121.4035569,31.62856998,6500.0
121.34848,30.74785238,7600.0
121.4805037,30.92372011,5250.0
