lng,lat,value
121.4848682,31.24077607,6976.685393258427
121.1305531,31.15545432,8194.444444444445
121.5325199,31.26552414,7925.806451612903
121.4433964,31.19455677,6500.934579439252
121.5504546,31.22734829,6821.0526315789475
121.4304544,31.22684797,6819.2307692307695
121.4915856,31.23724715,6927.027027027027
121.4035693,31.25497337,6553.448275862069
121.3886119,31.11884258,7151.063829787234
121.2344796,31.03713518,8538.095238095239
121.5115865,31.2697467,6150.0
121.496563,31.41027947,7511.764705882353
121.2725951,31.38015534,6209.523809523809
121.4534318,31.23384493,7298.484848484848
121.4035569,31.62856998,6000.0
121.34848,30.74785238,5642.857142857143
121.4805037,30.92372011,5688.888888888889
