lng,lat,value
121.4848682,31.24077607,7206.857142857143
121.1305531,31.15545432,8800.0
121.5325199,31.26552414,6300.0
121.4433964,31.19455677,4690.625
121.5504546,31.22734829,8238.805970149253
121.4304544,31.22684797,6176.923076923077
121.4915856,31.23724715,6240.0
121.4035693,31.25497337,6693.75
121.3886119,31.11884258,6454.545454545455
121.2344796,31.03713518,7500.0
121.5115865,31.2697467,7666.666666666667
121.496563,31.41027947,14000.0
121.2725951,31.38015534,6186.666666666667
121.4534318,31.23384493,12656.25
121.4805037,30.92372011,6500.0
