lng,lat,value
121.4848682,31.24077607,8097.619047619048
121.1305531,31.15545432,8106.666666666667
121.5325199,31.26552414,8500.0
121.4433964,31.19455677,6973.684210526316
121.5504546,31.22734829,8134.426229508197
121.4304544,31.22684797,7832.258064516129
121.4915856,31.23724715,6720.0
121.4035693,31.25497337,7443.243243243243
121.3886119,31.11884258,6483.48623853211
121.2344796,31.03713518,7316.666666666667
121.5115865,31.2697467,7940.0
121.496563,31.41027947,8392.0
121.2725951,31.38015534,7385.185185185185
121.4534318,31.23384493,7978.787878787879
121.34848,30.74785238,4250.0
121.4805037,30.92372011,9333.333333333334
