lng,lat,value
121.4848682,31.24077607,4883.7037037037035
121.1305531,31.15545432,5125.0
121.5325199,31.26552414,5045.454545454545
121.4433964,31.19455677,5219.565217391304
121.5504546,31.22734829,5432.960893854749
121.4304544,31.22684797,5232.558139534884
121.4915856,31.23724715,5179.464285714285
121.4035693,31.25497337,4926.829268292683
121.3886119,31.11884258,4916.666666666667
121.2344796,31.03713518,4666.666666666667
121.5115865,31.2697467,5105.263157894737
121.496563,31.41027947,4909.090909090909
121.2725951,31.38015534,4608.695652173913
121.4534318,31.23384493,5492.64705882353
121.4035569,31.62856998,6000.0
121.34848,30.74785238,5000.0
121.4805037,30.92372011,3777.777777777778
