lng,lat,value
121.4848682,31.24077607,7484.523809523809
121.1305531,31.15545432,7500.0
121.5325199,31.26552414,6166.666666666667
121.4433964,31.19455677,6812.5
121.5504546,31.22734829,6041.025641025641
121.4304544,31.22684797,4166.666666666667
121.4915856,31.23724715,6666.666666666667
121.4035693,31.25497337,6300.0
121.3886119,31.11884258,8541.666666666666
121.2344796,31.03713518,9800.0
121.5115865,31.2697467,3566.6666666666665
121.496563,31.41027947,5660.0
121.2725951,31.38015534,5160.0
121.4534318,31.23384493,8800.0
121.4805037,30.92372011,5000.0
