lng,lat,value
121.4848682,31.24077607,8237.037037037036
121.1305531,31.15545432,12500.0
121.5325199,31.26552414,9833.333333333334
121.4433964,31.19455677,7033.333333333333
121.5504546,31.22734829,6090.0
121.4304544,31.22684797,2300.0
121.4915856,31.23724715,20587.5
121.4035693,31.25497337,4600.0
121.3886119,31.11884258,8378.57142857143
121.2344796,31.03713518,5440.0
121.5115865,31.2697467,13666.666666666666
121.496563,31.41027947,5275.0
121.2725951,31.38015534,18250.0
121.4534318,31.23384493,9307.142857142857
121.34848,30.74785238,4000.0
121.4805037,30.92372011,6500.0
