lng,lat,value
121.4848682,31.24077607,6480.110497237569
121.1305531,31.15545432,6411.111111111111
121.5325199,31.26552414,5440.0
121.4433964,31.19455677,4125.0
121.5504546,31.22734829,6611.538461538462
121.4304544,31.22684797,6400.0
121.4915856,31.23724715,6363.636363636364
121.4035693,31.25497337,6580.0
121.3886119,31.11884258,9248.148148148148
121.2344796,31.03713518,8500.0
121.5115865,31.2697467,3533.3333333333335
121.496563,31.41027947,7444.444444444444
121.2725951,31.38015534,5125.0
121.4534318,31.23384493,5648.837209302325
121.4805037,30.92372011,8000.0
