lng,lat,value
121.4848682,31.24077607,5373.333333333333
121.1305531,31.15545432,5470.588235294118
121.5325199,31.26552414,5697.530864197531
121.4433964,31.19455677,5528.985507246377
121.5504546,31.22734829,5352.331606217616
121.4304544,31.22684797,5147.540983606557
121.4915856,31.23724715,5445.3488372093025
121.4035693,31.25497337,5413.461538461538
121.3886119,31.11884258,5453.6
121.2344796,31.03713518,4894.736842105263
121.5115865,31.2697467,5000.0
121.496563,31.41027947,5585.714285714285
121.2725951,31.38015534,5434.782608695652
121.4534318,31.23384493,5377.659574468085
121.4035569,31.62856998,4000.0
121.34848,30.74785238,5250.0
121.4805037,30.92372011,5666.666666666667
