name1,name2,value
教务,上海,6925.896414342629
教务,青浦区,6685.0
教务,杨浦区,6720.967741935484
教务,徐汇区,7042.1875
教务,浦东新区,6834.013605442177
教务,长宁区,6640.476190476191
教务,黄浦区,6186.363636363636
教务,普陀区,7144.186046511628
教务,闵行区,6998.780487804878
教务,松江区,7640.625
教务,虹口区,6809.574468085107
教务,宝山区,7414.285714285715
教务,嘉定区,7031.818181818182
教务,静安区,6774.358974358975
教务,崇明区,6000.0
教务,金山区,7583.333333333333
教务,奉贤区,7054.545454545455
助教,上海,6658.450704225352
助教,青浦区,5555.555555555556
助教,杨浦区,5700.0
助教,徐汇区,7238.0952380952385
助教,浦东新区,6375.0
助教,长宁区,6250.0
助教,黄浦区,5266.666666666667
助教,普陀区,7325.0
助教,闵行区,6641.176470588235
助教,松江区,6571.428571428572
助教,虹口区,7256.818181818182
助教,宝山区,7100.0
助教,嘉定区,5300.0
助教,静安区,6653.846153846154
助教,崇明区,0.0
助教,金山区,0.0
助教,奉贤区,8000.0
编导,上海,7021.551724137931
编导,青浦区,8333.333333333334
编导,杨浦区,11000.0
编导,徐汇区,8056.25
编导,浦东新区,6335.294117647059
编导,长宁区,7666.666666666667
编导,黄浦区,5733.333333333333
编导,普陀区,7625.0
编导,闵行区,7207.142857142857
编导,松江区,6000.0
编导,虹口区,8333.333333333334
编导,宝山区,6033.333333333333
编导,嘉定区,7600.0
编导,静安区,5156.25
编导,崇明区,0.0
编导,金山区,0.0
编导,奉贤区,6000.0
编剧,上海,8550.0
编剧,青浦区,0.0
编剧,杨浦区,5000.0
编剧,徐汇区,5460.0
编剧,浦东新区,9666.666666666666
编剧,长宁区,4000.0
编剧,黄浦区,8000.0
编剧,普陀区,7666.666666666667
编剧,闵行区,5933.333333333333
编剧,松江区,0.0
编剧,虹口区,0.0
编剧,宝山区,0.0
编剧,嘉定区,0.0
编剧,静安区,14300.0
编剧,崇明区,0.0
编剧,金山区,0.0
编剧,奉贤区,0.0
后期制作,上海,6690.625
后期制作,青浦区,6666.666666666667
后期制作,杨浦区,5825.0
后期制作,徐汇区,7071.428571428572
后期制作,浦东新区,6370.27027027027
后期制作,长宁区,7184.210526315789
后期制作,黄浦区,6831.25
后期制作,普陀区,7029.411764705882
后期制作,闵行区,6775.0
后期制作,松江区,7000.0
后期制作,虹口区,5700.0
后期制作,宝山区,6022.222222222223
后期制作,嘉定区,7428.571428571428
后期制作,静安区,6875.0
后期制作,崇明区,0.0
后期制作,金山区,0.0
后期制作,奉贤区,8000.0
化妆师,上海,5703.7037037037035
化妆师,青浦区,7000.0
化妆师,杨浦区,6000.0
化妆师,徐汇区,3000.0
化妆师,浦东新区,6000.0
化妆师,长宁区,8000.0
化妆师,黄浦区,8000.0
化妆师,普陀区,6000.0
化妆师,闵行区,6111.111111111111
化妆师,松江区,6666.666666666667
化妆师,虹口区,5666.666666666667
化妆师,宝山区,6000.0
化妆师,嘉定区,5000.0
化妆师,静安区,7800.0
化妆师,崇明区,0.0
化妆师,金山区,0.0
化妆师,奉贤区,5000.0
广告创意,上海,7760.869565217391
广告创意,青浦区,500.0
广告创意,杨浦区,10000.0
广告创意,徐汇区,8588.888888888889
广告创意,浦东新区,5636.363636363636
广告创意,长宁区,7246.153846153846
广告创意,黄浦区,4642.857142857143
广告创意,普陀区,7100.0
广告创意,闵行区,9100.0
广告创意,松江区,8500.0
广告创意,虹口区,8000.0
广告创意,宝山区,10000.0
广告创意,嘉定区,3333.3333333333335
