lng,lat,value
121.4848682,31.24077607,6826.829268292683
121.1305531,31.15545432,7766.666666666667
121.5325199,31.26552414,7986.111111111111
121.4433964,31.19455677,7491.111111111111
121.5504546,31.22734829,7443.5374149659865
121.4304544,31.22684797,7532.258064516129
121.4915856,31.23724715,7392.307692307692
121.4035693,31.25497337,8057.142857142857
121.3886119,31.11884258,7927.272727272727
121.2344796,31.03713518,7617.391304347826
121.5115865,31.2697467,7700.0
121.496563,31.41027947,8316.129032258064
121.2725951,31.38015534,6881.818181818182
121.4534318,31.23384493,7300.0
121.34848,30.74785238,8750.0
121.4805037,30.92372011,8428.57142857143
