lng,lat,value
121.4848682,31.24077607,12573.684210526315
121.1305531,31.15545432,5666.666666666667
121.5325199,31.26552414,4300.0
121.4433964,31.19455677,13811.111111111111
121.5504546,31.22734829,4366.666666666667
121.4304544,31.22684797,8125.0
121.4915856,31.23724715,500.0
121.4035693,31.25497337,3600.0
121.3886119,31.11884258,10633.333333333334
121.2344796,31.03713518,13000.0
121.5115865,31.2697467,10333.333333333334
121.496563,31.41027947,12666.666666666666
121.2725951,31.38015534,450.0
121.4534318,31.23384493,10722.222222222223
