lng,lat,value
121.4848682,31.24077607,4903.488372093023
121.1305531,31.15545432,4600.0
121.5325199,31.26552414,4488.372093023256
121.4433964,31.19455677,5056.603773584906
121.5504546,31.22734829,4819.907407407408
121.4304544,31.22684797,4553.571428571428
121.4915856,31.23724715,5252.795031055901
121.4035693,31.25497337,4784.313725490196
121.3886119,31.11884258,4814.102564102564
121.2344796,31.03713518,4055.5555555555557
121.5115865,31.2697467,5116.666666666667
121.496563,31.41027947,5192.307692307692
121.2725951,31.38015534,4777.777777777777
121.4534318,31.23384493,4886.363636363636
121.34848,30.74785238,4500.0
121.4805037,30.92372011,3200.0
