lng,lat,value
121.4848682,31.24077607,5605.8441558441555
121.1305531,31.15545432,6203.846153846154
121.5325199,31.26552414,7114.285714285715
121.4433964,31.19455677,6916.666666666667
121.5504546,31.22734829,6944.827586206897
121.4304544,31.22684797,7000.0
121.4915856,31.23724715,6747.058823529412
121.4035693,31.25497337,6666.666666666667
121.3886119,31.11884258,5622.123893805309
121.2344796,31.03713518,5906.25
121.5115865,31.2697467,6111.111111111111
121.496563,31.41027947,5629.166666666667
121.2725951,31.38015534,5457.777777777777
121.4534318,31.23384493,7000.0
121.4035569,31.62856998,7250.0
121.34848,30.74785238,7333.333333333333
121.4805037,30.92372011,5943.478260869565
