lng,lat,value
121.4848682,31.24077607,4247.916666666667
121.1305531,31.15545432,3444.4444444444443
121.5325199,31.26552414,3785.714285714286
121.4433964,31.19455677,4115.789473684211
121.5504546,31.22734829,4216.363636363636
121.4304544,31.22684797,4235.294117647059
121.4915856,31.23724715,4930.30303030303
121.4035693,31.25497337,3789.4736842105262
121.3886119,31.11884258,4260.975609756098
121.2344796,31.03713518,3615.3846153846152
121.5115865,31.2697467,3625.0
121.496563,31.41027947,4686.666666666667
121.2725951,31.38015534,4833.333333333333
121.4534318,31.23384493,4923.076923076923
121.34848,30.74785238,3000.0
121.4805037,30.92372011,3642.8571428571427
