lng,lat,value
121.4848682,31.24077607,6851.162790697675
121.1305531,31.15545432,7187.5
121.5325199,31.26552414,6500.0
121.4433964,31.19455677,6622.916666666667
121.5504546,31.22734829,6810.526315789473
121.4304544,31.22684797,4323.529411764706
121.4915856,31.23724715,8780.952380952382
121.4035693,31.25497337,5327.586206896552
121.3886119,31.11884258,6739.473684210527
121.2344796,31.03713518,7983.333333333333
121.5115865,31.2697467,5185.714285714285
121.496563,31.41027947,10145.454545454546
121.2725951,31.38015534,5640.0
121.4534318,31.23384493,8283.783783783783
121.34848,30.74785238,5625.0
121.4805037,30.92372011,6050.0
