lng,lat,value
121.4848682,31.24077607,9453.260869565218
121.1305531,31.15545432,7700.0
121.5325199,31.26552414,7004.761904761905
121.4433964,31.19455677,6309.803921568628
121.5504546,31.22734829,7060.869565217391
121.4304544,31.22684797,8895.454545454546
121.4915856,31.23724715,9292.105263157895
121.4035693,31.25497337,6377.272727272727
121.3886119,31.11884258,6788.732394366197
121.2344796,31.03713518,5863.636363636364
121.5115865,31.2697467,5209.090909090909
121.496563,31.41027947,6140.0
121.2725951,31.38015534,13840.0
121.4534318,31.23384493,9496.22641509434
121.34848,30.74785238,500.0
121.4805037,30.92372011,3563.6363636363635
