lng,lat,value
121.4848682,31.24077607,7760.869565217391
121.1305531,31.15545432,500.0
121.5325199,31.26552414,10000.0
121.4433964,31.19455677,8588.888888888889
121.5504546,31.22734829,5636.363636363636
121.4304544,31.22684797,7246.153846153846
121.4915856,31.23724715,4642.857142857143
121.4035693,31.25497337,7100.0
121.3886119,31.11884258,9100.0
121.2344796,31.03713518,8500.0
121.5115865,31.2697467,8000.0
121.496563,31.41027947,10000.0
121.2725951,31.38015534,3333.3333333333335
121.4534318,31.23384493,6907.142857142857
