lng,lat,value
121.4848682,31.24077607,6712.863070539419
121.1305531,31.15545432,4575.0
121.5325199,31.26552414,6783.333333333333
121.4433964,31.19455677,5947.222222222223
121.5504546,31.22734829,6451.515151515152
121.4304544,31.22684797,5703.125
121.4915856,31.23724715,8056.25
121.4035693,31.25497337,6862.5
121.3886119,31.11884258,6530.434782608696
121.2344796,31.03713518,5763.1578947368425
121.5115865,31.2697467,5200.0
121.496563,31.41027947,6590.909090909091
121.2725951,31.38015534,6125.0
121.4534318,31.23384493,7459.375
121.4805037,30.92372011,7000.0
