lng,lat,value
121.4848682,31.24077607,6645.341614906833
121.1305531,31.15545432,6344.444444444444
121.5325199,31.26552414,5913.333333333333
121.4433964,31.19455677,6162.857142857143
121.5504546,31.22734829,6915.384615384615
121.4304544,31.22684797,5933.333333333333
121.4915856,31.23724715,6789.473684210527
121.4035693,31.25497337,7521.0526315789475
121.3886119,31.11884258,6654.0
121.2344796,31.03713518,8075.0
121.5115865,31.2697467,5933.333333333333
121.496563,31.41027947,5640.0
121.2725951,31.38015534,6193.75
121.4534318,31.23384493,7929.166666666667
121.34848,30.74785238,5837.5
121.4805037,30.92372011,3600.0
