lng,lat,value
121.4848682,31.24077607,8113.580246913581
121.1305531,31.15545432,7117.64705882353
121.5325199,31.26552414,6446.428571428572
121.4433964,31.19455677,6885.0
121.5504546,31.22734829,7336.458333333333
121.4304544,31.22684797,8055.0
121.4915856,31.23724715,8714.285714285714
121.4035693,31.25497337,7000.0
121.3886119,31.11884258,6669.090909090909
121.2344796,31.03713518,7375.0
121.5115865,31.2697467,13462.5
121.496563,31.41027947,4415.789473684211
121.2725951,31.38015534,7016.666666666667
121.4534318,31.23384493,6682.142857142857
121.34848,30.74785238,7000.0
121.4805037,30.92372011,6500.0
